news_id,headline,body_text,source,label
1,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,0
2,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,Daily Star,0
3,Breakthrough in Bangladesh's tech industry,Local administration has visited the spot for further inspection.,BBC,1
4,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,1
5,New virus outbreak sparks fear,Government sources state that an official announcement will be made soon.,Reuters,0
6,"Earthquake hits Chittagong, panic spreads",Doctors advise that basic precautions can help avoid danger.,Reuters,1
7,Global economy faces recession,Government sources state that an official announcement will be made soon.,BBC,1
8,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",BBC,0
9,"Earthquake hits Chittagong, panic spreads",Doctors advise that basic precautions can help avoid danger.,Unknown News,1
10,New curriculum introduced in schools,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,0
11,New curriculum introduced in schools,Doctors advise that basic precautions can help avoid danger.,Unknown News,1
12,New curriculum introduced in schools,Doctors advise that basic precautions can help avoid danger.,Daily Star,0
13,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,BBC,0
14,Bangladeshi astronaut captures photo from the moon,Government sources state that an official announcement will be made soon.,Reuters,0
15,New curriculum introduced in schools,Experts believe this is a significant technological advancement.,BBC,1
16,New virus outbreak sparks fear,Residents claim they have never witnessed such an event before.,BBC,0
17,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,1
18,New curriculum introduced in schools,Uncertainty remains about the authenticity of the incident.,BBC,0
19,Bangladesh wins the World Cup,The news went viral on social media after noon.,Daily Star,0
20,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,0
21,Bangladesh wins the World Cup,"Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,1
22,"Earthquake hits Chittagong, panic spreads",Uncertainty remains about the authenticity of the incident.,Daily Star,0
23,"Earthquake hits Chittagong, panic spreads",Uncertainty remains about the authenticity of the incident.,Reuters,1
24,Breakthrough in Bangladesh's tech industry,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,0
25,Government announces major job reforms,Experts believe this is a significant technological advancement.,Unknown News,0
26,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,CNN,0
27,"Earthquake hits Chittagong, panic spreads",Residents claim they have never witnessed such an event before.,Unknown News,1
28,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,Reuters,1
29,Global economy faces recession,Local administration has visited the spot for further inspection.,Unknown News,1
30,Dengue situation worsens in the country,Government sources state that an official announcement will be made soon.,Reuters,1
31,New metro rail launched in Dhaka,Local administration has visited the spot for further inspection.,CNN,1
32,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,Unknown News,0
33,"Earthquake hits Chittagong, panic spreads",The news went viral on social media after noon.,Reuters,0
34,Dengue situation worsens in the country,Experts believe this is a significant technological advancement.,Daily Star,1
35,New curriculum introduced in schools,Government sources state that an official announcement will be made soon.,Daily Star,0
36,Government announces major job reforms,"Many are calling it a conspiracy. However, experts say it's quite natural.",BBC,0
37,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,0
38,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,Unknown News,0
39,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,BBC,1
40,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,Daily Star,1
41,Dengue situation worsens in the country,Residents claim they have never witnessed such an event before.,Reuters,1
42,New curriculum introduced in schools,Uncertainty remains about the authenticity of the incident.,Unknown News,0
43,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,Reuters,0
44,Bangladesh wins the World Cup,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,0
45,Global economy faces recession,Experts believe this is a significant technological advancement.,CNN,0
46,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,0
47,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,1
48,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Daily Star,1
49,Bangladeshi astronaut captures photo from the moon,Government sources state that an official announcement will be made soon.,BBC,1
50,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,Daily Star,0
51,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,CNN,1
52,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Daily Star,0
53,Bangladesh wins the World Cup,Doctors advise that basic precautions can help avoid danger.,BBC,1
54,"Earthquake hits Chittagong, panic spreads","Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,1
55,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,1
56,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,Reuters,0
57,Dengue situation worsens in the country,Uncertainty remains about the authenticity of the incident.,BBC,1
58,New virus outbreak sparks fear,Experts believe this is a significant technological advancement.,CNN,0
59,Dengue situation worsens in the country,Government sources state that an official announcement will be made soon.,Daily Star,0
60,Bangladeshi astronaut captures photo from the moon,Residents claim they have never witnessed such an event before.,Daily Star,1
61,New metro rail launched in Dhaka,Uncertainty remains about the authenticity of the incident.,Daily Star,0
62,Dengue situation worsens in the country,Local administration has visited the spot for further inspection.,Reuters,0
63,New virus outbreak sparks fear,The news went viral on social media after noon.,BBC,1
64,Bangladesh wins the World Cup,Uncertainty remains about the authenticity of the incident.,BBC,1
65,Bangladesh wins the World Cup,The Prime Minister attended the inauguration ceremony as the chief guest.,Unknown News,0
66,"Earthquake hits Chittagong, panic spreads",The Prime Minister attended the inauguration ceremony as the chief guest.,Daily Star,0
67,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,CNN,1
68,New virus outbreak sparks fear,Experts believe this is a significant technological advancement.,BBC,1
69,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,0
70,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,Daily Star,0
71,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,Unknown News,1
72,Global economy faces recession,Residents claim they have never witnessed such an event before.,BBC,1
73,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,Daily Star,0
74,New curriculum introduced in schools,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,0
75,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,Unknown News,0
76,"Earthquake hits Chittagong, panic spreads","Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,0
77,New metro rail launched in Dhaka,Local administration has visited the spot for further inspection.,BBC,0
78,"Earthquake hits Chittagong, panic spreads",Residents claim they have never witnessed such an event before.,Reuters,0
79,"Earthquake hits Chittagong, panic spreads",Experts believe this is a significant technological advancement.,BBC,1
80,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,0
81,Dengue situation worsens in the country,Residents claim they have never witnessed such an event before.,Daily Star,1
82,New metro rail launched in Dhaka,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,1
83,"Earthquake hits Chittagong, panic spreads",The Prime Minister attended the inauguration ceremony as the chief guest.,Daily Star,0
84,New metro rail launched in Dhaka,The news went viral on social media after noon.,Reuters,0
85,"Earthquake hits Chittagong, panic spreads",The news went viral on social media after noon.,Daily Star,0
86,Government announces major job reforms,The news went viral on social media after noon.,Daily Star,0
87,Bangladesh wins the World Cup,Uncertainty remains about the authenticity of the incident.,Unknown News,1
88,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",Daily Star,1
89,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,BBC,1
90,"Earthquake hits Chittagong, panic spreads",The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,1
91,Dengue situation worsens in the country,Uncertainty remains about the authenticity of the incident.,Reuters,1
92,Bangladesh wins the World Cup,The news went viral on social media after noon.,BBC,1
93,Global economy faces recession,Doctors advise that basic precautions can help avoid danger.,Daily Star,0
94,Dengue situation worsens in the country,The news went viral on social media after noon.,Daily Star,0
95,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,Daily Star,1
96,New virus outbreak sparks fear,Residents claim they have never witnessed such an event before.,BBC,0
97,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,CNN,1
98,Global economy faces recession,Experts believe this is a significant technological advancement.,CNN,0
99,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,1
100,New virus outbreak sparks fear,Government sources state that an official announcement will be made soon.,BBC,0
101,Bangladesh wins the World Cup,The news went viral on social media after noon.,Reuters,0
102,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,BBC,0
103,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,CNN,0
104,New curriculum introduced in schools,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,1
105,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,CNN,1
106,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,Reuters,1
107,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,1
108,Dengue situation worsens in the country,Government sources state that an official announcement will be made soon.,Daily Star,1
109,New metro rail launched in Dhaka,Experts believe this is a significant technological advancement.,Daily Star,1
110,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,Unknown News,0
111,New curriculum introduced in schools,Experts believe this is a significant technological advancement.,CNN,1
112,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,BBC,0
113,New metro rail launched in Dhaka,Uncertainty remains about the authenticity of the incident.,BBC,1
114,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,Reuters,0
115,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,BBC,1
116,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,CNN,0
117,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Reuters,1
118,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,Daily Star,0
119,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Unknown News,1
120,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,Unknown News,0
121,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,Daily Star,1
122,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,0
123,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,1
124,New metro rail launched in Dhaka,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,1
125,Bangladeshi astronaut captures photo from the moon,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,0
126,Government announces major job reforms,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,1
127,Breakthrough in Bangladesh's tech industry,The news went viral on social media after noon.,CNN,1
128,Government announces major job reforms,Experts believe this is a significant technological advancement.,CNN,0
129,Bangladeshi astronaut captures photo from the moon,Doctors advise that basic precautions can help avoid danger.,Unknown News,1
130,Global economy faces recession,The news went viral on social media after noon.,CNN,0
131,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Daily Star,1
132,New curriculum introduced in schools,The news went viral on social media after noon.,Daily Star,0
133,Bangladesh wins the World Cup,The news went viral on social media after noon.,BBC,0
134,Bangladeshi astronaut captures photo from the moon,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,1
135,Government announces major job reforms,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,0
136,Government announces major job reforms,Residents claim they have never witnessed such an event before.,CNN,1
137,New metro rail launched in Dhaka,Government sources state that an official announcement will be made soon.,BBC,1
138,Bangladeshi astronaut captures photo from the moon,Uncertainty remains about the authenticity of the incident.,CNN,0
139,Bangladeshi astronaut captures photo from the moon,Government sources state that an official announcement will be made soon.,Reuters,1
140,Government announces major job reforms,The news went viral on social media after noon.,BBC,1
141,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,Daily Star,1
142,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Reuters,1
143,Dengue situation worsens in the country,Experts believe this is a significant technological advancement.,Daily Star,0
144,Global economy faces recession,Residents claim they have never witnessed such an event before.,Reuters,0
145,New virus outbreak sparks fear,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,1
146,Bangladeshi astronaut captures photo from the moon,Residents claim they have never witnessed such an event before.,CNN,1
147,New curriculum introduced in schools,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,0
148,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,BBC,1
149,Government announces major job reforms,The news went viral on social media after noon.,Daily Star,1
150,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,1
151,New virus outbreak sparks fear,"Many are calling it a conspiracy. However, experts say it's quite natural.",Reuters,1
152,Dengue situation worsens in the country,Experts believe this is a significant technological advancement.,BBC,0
153,"Earthquake hits Chittagong, panic spreads",Experts believe this is a significant technological advancement.,CNN,0
154,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,0
155,Bangladesh wins the World Cup,Uncertainty remains about the authenticity of the incident.,Unknown News,0
156,Dengue situation worsens in the country,Residents claim they have never witnessed such an event before.,Reuters,1
157,Global economy faces recession,Experts believe this is a significant technological advancement.,CNN,0
158,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,0
159,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,Unknown News,0
160,New metro rail launched in Dhaka,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,0
161,New metro rail launched in Dhaka,The news went viral on social media after noon.,Daily Star,0
162,New virus outbreak sparks fear,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,0
163,New virus outbreak sparks fear,Uncertainty remains about the authenticity of the incident.,Reuters,1
164,Government announces major job reforms,Local administration has visited the spot for further inspection.,Reuters,1
165,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,CNN,1
166,Global economy faces recession,Experts believe this is a significant technological advancement.,Daily Star,0
167,Breakthrough in Bangladesh's tech industry,Uncertainty remains about the authenticity of the incident.,BBC,1
168,New curriculum introduced in schools,Experts believe this is a significant technological advancement.,Reuters,1
169,New curriculum introduced in schools,"Many are calling it a conspiracy. However, experts say it's quite natural.",Daily Star,1
170,Bangladesh wins the World Cup,The Prime Minister attended the inauguration ceremony as the chief guest.,Unknown News,1
171,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,Daily Star,0
172,"Earthquake hits Chittagong, panic spreads",The news went viral on social media after noon.,CNN,0
173,Breakthrough in Bangladesh's tech industry,Local administration has visited the spot for further inspection.,BBC,0
174,Breakthrough in Bangladesh's tech industry,The news went viral on social media after noon.,CNN,1
175,Government announces major job reforms,Experts believe this is a significant technological advancement.,Unknown News,0
176,Breakthrough in Bangladesh's tech industry,Local administration has visited the spot for further inspection.,BBC,1
177,New virus outbreak sparks fear,The news went viral on social media after noon.,CNN,0
178,New curriculum introduced in schools,The news went viral on social media after noon.,Reuters,0
179,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,0
