headline,label
Scientists discover water on Mars,0
Government announces new education policy,0
Actor admits aliens taught him acting,1
Bananas cure all diseases,1
New vaccine shows 95% success rate,0
Aliens spotted shopping in New York,1
Stock market hits record high today,0
Secret potion makes people invisible,1
Prime Minister launches digital India campaign,0
Man claims to time travel with smartphone,1
University opens new research center,0
Flying car tested successfully in Japan,0
Chocolate factory found on the Moon,1
Doctors warn against fake miracle cures,0
Politician caught meeting aliens secretly,1
Sports team wins championship after 10 years,0
Hidden city discovered under the ocean,1
School introduces AI-based learning system,0
Magic stone cures all illnesses,1
Scientists develop eco-friendly plastic,0
ISRO successfully launches PSLV-C58 carrying XPoSat satellite,0
India wins ICC T20 World Cup 2024 after defeating Australia,0
Microsoft announces new AI features in Windows 11 update,0
Heavy rainfall causes flooding in Mumbaischools closed,1
Scientists confirm aliens have landed in Delhi market,1
Government to ban all mobile phones from January 2026,1
Virat Kohli retires suddenly after losing a practice ,1
Apple to give free iPhones to all students in India,1
India GDP growth projected at 6.5% for 2025 by World Bank,0
World Bank to distribute free gold coins to every citizen in India,1
